amenity_name,lat,lng,building,address,postal
763 JURONG WEST STREET 75 ,1.34874387926183,103.698298710842,GEK POH SHOPPING CENTRE,GEK POH SHOPPING CENTRE,640763
745 BEDOK RESERVOIR ROAD ,1.33740471892368,103.921774736408,RESERVOIR VILLAGE,RESERVOIR VILLAGE,470745
570B WOODLANDS AVENUE 1 ,1.43106395458307,103.790454078756,DBS NTUC WOODLANDS AVENUE 1,DBS NTUC WOODLANDS AVENUE 1,732570
888 WOODLANDS DRIVE 50 ,1.43711856085535,103.795316064775,DBS NTUC 888 PLAZA,DBS NTUC 888 PLAZA,730888
20 EASTWOOD ROAD ,1.32154249881548,103.955535617961,EASTWOOD CENTRE,EASTWOOD CENTRE,486442
512 BISHAN STREET 13 ,1.3496223524908,103.849881699197,HDB BISHAN BRANCH,HDB BISHAN BRANCH,570512
150 SILAT AVENUE ,1.27707706879078,103.831425856916,OCBC SILAT AVE - FAIRPRICE,OCBC SILAT AVE - FAIRPRICE,160150
230 GEYLANG ROAD,1.31208817725995,103.877388748956,NIL,230 GEYLANG ROAD SINGAPORE 389290,389290
154A BUKIT BATOK WEST AVENUE 8 ,1.34738825473828,103.743704684376,OCBC BUKIT BATOK WEST AVE 8,OCBC BUKIT BATOK WEST AVE 8,651154
10 SINARAN DRIVE ,1.32070510956845,103.844160709661,SQUARE 2,SQUARE 2,307506
823 TAMPINES STREET 81 ,1.3487449454775,103.934024716838,NIL,823 TAMPINES STREET 81 SINGAPORE 520823,520823
1 JURONG WEST CENTRAL 2 ,1.33945200436319,103.706685012654,UOB JURONG POINT BRANCH,UOB JURONG POINT BRANCH,648886
20 LENGKOK BAHRU ,1.28736604092556,103.81481812521,BLK A,BLK A,159053
56 MARINE TERRACE ,1.30560569433107,103.91537607851,MARINE TERRACE HAVEN,MARINE TERRACE HAVEN,440056
95 LORONG 4 TOA PAYOH ,1.338974038346,103.849002148998,DBS TRADE_BRANCH,DBS TRADE_BRANCH,310095
1 HARBOURFRONT WALK ,1.26427434061441,103.822596222416,MORIAH ASSEMBLY OF GOD,MORIAH ASSEMBLY OF GOD,098585
11 TANJONG KATONG ROAD ,1.31461849889242,103.894738004496,DBS ONE KM,DBS ONE KM,437157
26A CHAI CHEE ROAD ,1.32370047880354,103.923497151617,NIL,26A CHAI CHEE ROAD SINGAPORE 461026,461026
138 ROBINSON ROAD ,1.27870608494088,103.848418970551,OXLEY TOWER,OXLEY TOWER,068906
