lat,lng,station_name,postal,opening_date
1.39169462601522,103.895484694279,SENGKANG MRT STATION (NE16),545062,2003-06-20
1.40454653668991,103.902072622229,PUNGGOL MRT STATION (NE17),828868,2003-06-20
1.27625146423743,103.855447156279,MARINA BAY MRT STATION (CE2),18926,1989-11-04
1.28187378879209,103.859079764874,BAYFRONT MRT STATION (DT16 / CE1),18957,2012-01-14
1.29891164362677,103.84629250696,DHOBY GHAUT MRT STATION (CC1),238893,1987-12-12
1.29686168649656,103.850667371637,BRAS BASAH MRT STATION (CC2),189561,2010-04-17
1.2936577245386,103.855081226245,ESPLANADE MRT STATION (CC3),189562,2010-04-17
1.29399798636232,103.860350000188,PROMENADE MRT STATION (CC4),39193,2010-04-17
1.29976684675139,103.86363696572,NICOLL HIGHWAY MRT STATION (CC5),38970,2010-04-17
1.3028124684707,103.875337711089,STADIUM MRT STATION (CC6),397692,2010-04-17
1.30620190525331,103.882528081052,MOUNTBATTEN MRT STATION (CC7),398006,2010-04-17
1.30854798388121,103.889064718377,DAKOTA MRT STATION (CC8),397973,2010-04-17
1.3172473854035,103.892260753884,PAYA LEBAR MRT STATION (CC9),409049,1989-11-04
1.32607760171665,103.890391305725,MACPHERSON MRT STATION (CC10),409048,2010-04-17
1.33514150139202,103.888389300191,TAI SENG MRT STATION (CC11),534803,2010-04-17
1.34250117805245,103.880177899184,BARTLEY MRT STATION (CC12),539788,2009-05-28
1.35063361526525,103.872771660431,SERANGOON MRT STATION (CC13),556082,2003-06-20
1.35161217074555,103.864151938651,LORONG CHUAN MRT STATION (CC14),554533,2009-05-28
1.35131580146658,103.84914026532,BISHAN MRT STATION (CC15),579842,1987-11-07
1.348707263451,103.839423132332,MARYMOUNT MRT STATION (CC16),573993,2009-05-28
1.33767450815619,103.839529820338,CALDECOTT MRT STATION (CC17),298113,2011-10-08
1.32211373558877,103.814984510627,BOTANIC GARDENS MRT STATION (CC19),257494,2011-10-08
1.31743915158967,103.807379214161,FARRER ROAD MRT STATION (CC20),268857,2011-10-08
1.31224029631595,103.796399122407,HOLLAND VILLAGE MRT STATION (CC21),278995,2011-10-08
1.30663450405,103.790709404436,BUONA VISTA MRT STATION (CC22),139350,1988-03-12
1.29975987493555,103.78745750525,ONE-NORTH MRT STATION (CC23),138647,2011-10-08
1.29353349887123,103.784572738173,KENT RIDGE MRT STATION (CC24),118177,2011-10-08
1.28257135772488,103.781752725064,HAW PAR VILLA MRT STATION (CC25),117396,2011-10-08
1.27621352233766,103.791350313288,PASIR PANJANG MRT STATION (CC26),117424,2011-10-08
1.27225417749656,103.802631578766,LABRADOR PARK MRT STATION (CC27),109029,2011-10-08
1.27070647717762,103.809761611219,TELOK BLANGAH MRT STATION (CC28),109028,2011-10-08
1.37900211641036,103.761535114929,BUKIT PANJANG MRT STATION (DT1),678213,2015-12-27
1.36981544925552,103.76443921414,CASHEW MRT STATION (DT2),679696,2015-12-27
1.36234486803558,103.767418254007,HILLVIEW MRT STATION (DT3),678211,2015-12-27
1.34122317558549,103.775794285083,BEAUTY WORLD MRT STATION (DT5),588216,2015-12-27
1.33566161262214,103.783399113441,KING ALBERT PARK MRT STATION (DT6),599987,2015-12-27
1.33085764536226,103.796906838288,SIXTH AVENUE MRT STATION (DT7),269784,2015-12-27
1.32555623519898,103.807760304729,TAN KAH KEE MRT STATION (DT8),266268,2015-12-27
1.32248807089544,103.816013994259,BOTANIC GARDENS MRT STATION (DT9),259777,2011-10-08
1.32006555750626,103.826024401924,STEVENS MRT STATION (DT10),257877,2015-12-27
1.31399286264569,103.837714613091,NEWTON MRT STATION (DT11),229901,1987-12-12
1.30701826765224,103.848660935092,LITTLE INDIA MRT STATION (DT12),229902,2003-06-20
1.30385218527656,103.852769428884,ROCHOR MRT STATION (DT13),188505,2015-12-27
1.29931350344582,103.857125959023,BUGIS MRT STATION (DT14),188476,1989-11-04
1.29289175383295,103.860891800025,PROMENADE MRT STATION (DT15),39194,2010-04-17
1.27944638178916,103.852840829581,DOWNTOWN MRT STATION (DT17),18969,2013-12-22
1.28206894769394,103.848648781083,TELOK AYER MRT STATION (DT18),48416,2013-12-22
1.28422391919085,103.845143798953,CHINATOWN MRT STATION (DT19),58362,2003-06-20
1.29248194822996,103.844331362465,FORT CANNING MRT STATION (DT20),179038,2017-10-21
1.29891843369422,103.850353762717,BENCOOLEN MRT STATION (DT21),189658,2017-10-21
1.3051713878069,103.855295713435,JALAN BESAR MRT STATION (DT22),208826,2017-10-21
1.31367252847691,103.862977620945,BENDEMEER MRT STATION (DT23),339356,2017-10-21
1.32130110228321,103.871622627142,GEYLANG BAHRU MRT STATION (DT24),339355,2017-10-21
1.32687671501334,103.883247509542,MATTAR MRT STATION (DT25),379314,2017-10-21
1.32615024457361,103.889298600376,MACPHERSON MRT STATION (DT26),378956,2010-04-17
