station_name,type
Sengkang LRT (STC),LRT
Compassvale LRT (SE1),LRT
Rumbia LRT (SE2),LRT
Bakau LRT (SE3),LRT
Kangkar LRT (SE4),LRT
Ranggung LRT (SE5),LRT
Cove LRT (PE1),LRT
Meridian LRT (PE2),LRT
Coral Edge LRT (PE3),LRT
Riviera LRT (PE4),LRT
Kadaloor LRT (PE5),LRT
Oasis LRT (PE6),LRT
Damai LRT (PE7),LRT
Punggol LRT (PTC),LRT
Sam Kee LRT (PW1),LRT
Teck Lee LRT (PW2),LRT
Punggol Point LRT (PW3),LRT
Samudera LRT (PW4),LRT
Nibong LRT (PW5),LRT
Sumang LRT (PW6),LRT
Soo Teck LRT (PW7),LRT
